id,name,unresolved_tokens
"0001","3/4 sit-up","3/4"
"0002","45° side bend","bend"
"0003","air bike","air bike"
"1512","all fours squad stretch","all fours squad"
"0006","alternate heel touchers","heel touchers"
"2355","arm slingers hanging bent knee legs","slingers"
"2333","arm slingers hanging straight legs","slingers"
"3214","arms apart circular toe touch (male)","apart circular (male)"
"3204","arms overhead full sit-up (male)","(male)"
"0009","assisted chest dip (kneeling)","(kneeling)"
"1710","assisted lying gluteus and piriformis stretch","gluteus piriformis"
"0014","assisted motion russian twist","motion"
"1714","assisted prone rectus femoris stretch","rectus femoris"
"1716","assisted seated pectoralis major stretch with stability ball","pectoralis major"
"1712","assisted side lying adductor stretch","adductor"
"0018","assisted standing triceps extension (with towel)","(with towel)"
"0019","assisted triceps dip (kneeling)","(kneeling)"
"2364","assisted wide-grip chest dip (kneeling)","(kneeling)"
"3220","astride jumps (male)","astride (male)"
"3672","back and forth step","forth"
"1405","back pec stretch","pec"
"0020","balance board","balance board"
"0969","band alternating v-up","v-up"
"0971","band assisted wheel rollerout","wheel"
"0972","band bicycle crunch","bicycle"
"3117","band fixed back close grip pulldown","fixed"
"3116","band fixed back underhand pulldown","fixed underhand"
"0979","band horizontal pallof press","pallof"
"0981","band jack knife sit-up","jack knife"
"0984","band lying hip internal rotation","internal"
"0996","band seated hip internal rotation","internal"
"1369","band two legs calf raise - (band under both legs) v. 2","- (band both legs) v."
"1013","band underhand pulldown","underhand"
"1014","band v-up","v-up"
"1015","band vertical pallof press","pallof"
"1017","band y-raise","y-raise"
"2407","barbell biceps curl (with arm blaster)","(with blaster)"
"0029","barbell clean-grip front squat","clean-grip"
"0035","barbell decline close grip to skull press","skull"
"0038","barbell drag curl","drag"
"1461","barbell full squat (back pov)","(back pov)"
"1462","barbell full squat (side pov)","(side pov)"
"3562","barbell glute bridge two legs on bench (male)","(male)"
"0045","barbell guillotine bench press","guillotine"
"0051","barbell jefferson squat","jefferson"
"0052","barbell jm bench press","jm"
"0058","barbell lying lifting (on hip)","lifting (on hip)"
"0060","barbell lying triceps extension skull crusher","skull crusher"
"3017","barbell pendlay row","pendlay"
"1751","barbell pin presses","pin presses"
"0074","barbell rack pull","rack"
"0077","barbell rear lunge v. 2","v."
"0079","barbell revers wrist curl v. 2","v."
"1721","barbell reverse grip skullcrusher","skullcrusher"
"0083","barbell rollerout from bench","from"
"0087","barbell seated bradford rocky press","bradford rocky"
"0096","barbell side bent v. 2","v."
"0097","barbell side split squat v. 2","v."
"2799","barbell sitted alternate leg raise","sitted"
"2800","barbell sitted alternate leg raise (female)","sitted (female)"
"0100","barbell skier","skier"
"0101","barbell speed squat","speed"
"2810","barbell split squat v. 2","v."
"0102","barbell squat (on knees)","(on knees)"
"0103","barbell standing ab rollerout","ab"
"0105","barbell standing bradford press","bradford"
"0111","barbell standing rocking leg calf raise","rocking"
"3305","barbell thruster","thruster"
"0119","barbell upright row v. 2","v."
"0121","barbell upright row v. 3","v."
"0125","barbell wrist curl v. 2","v."
"3212","basic toe touch (male)","basic (male)"
"0128","battling ropes","battling ropes"
"3360","bear crawl","bear crawl"
"0129","bench dip (knees bent)","(knees bent)"
"3019","bench pull-ups","pull-ups"
"3639","bent knee lying twist (male)","(male)"
"0139","biceps narrow pull-ups","pull-ups"
"0137","body-up","body-up"
"3543","bodyweight drop jump squat","drop"
"3168","bodyweight squatting row","squatting"
"3167","bodyweight squatting row (with towel)","squatting (with towel)"
"3161","bodyweight standing one arm row (with towel)","(with towel)"
"3165","bodyweight standing row (with towel)","(with towel)"
"0138","bottoms-up","bottoms-up"
"1374","box jump down with one leg stabilization","stabilization"
"2466","bridge - mountain climber (cross body)","- (cross body)"
"1160","burpee","burpee"
"0870","butt-ups","butt-ups"
"1494","butterfly yoga pose","butterfly yoga pose"
"0152","cable concentration extension (on knee)","concentration (on knee)"
"1632","cable drag curl","drag"
"0165","cable hammer curl (with rope)","(with rope)"
"1722","cable high pulley overhead tricep extension","pulley"
"0167","cable high row (kneeling)","(kneeling)"
"0170","cable incline fly (on stability ball)","(on stability ball)"
"0174","cable judo flip","judo flip"
"3697","cable kneeling rear delt row (with rope) (male)","(with rope) (male)"
"2330","cable lat pulldown full range of motion","range motion"
"0177","cable lateral pulldown (with rope attachment)","(with attachment)"
"0184","cable lying extension pullover (with rope attachment)","(with attachment)"
"0186","cable lying triceps extension v. 2","v."
"0188","cable middle fly","middle"
"0193","cable one arm straight back high row (kneeling)","(kneeling)"
"0194","cable overhead triceps extension (rope attachment)","(rope attachment)"
"1319","cable palm rotational row","rotational"
"0196","cable pull through (with rope)","(with rope)"
"0197","cable pulldown (pro lat bar)","(pro bar)"
"0199","cable pushdown (straight arm) v. 2","(straight arm) v."
"0200","cable pushdown (with rope attachment)","(with attachment)"
"0202","cable rear delt row (stirrups)","(stirrups)"
"0203","cable rear delt row (with rope)","(with rope)"
"0204","cable rear drive","drive"
"2406","cable reverse grip triceps pushdown (sz-bar) (with arm blaster)","(sz-bar) (with blaster)"
"1320","cable rope crossover seated row","crossover"
"1321","cable rope elevated seated row","elevated"
"1724","cable rope high pulley overhead tricep extension","pulley"
"0211","cable russian twists (on stability ball)","twists (on stability ball)"
"0213","cable seated high row (v-bar)","(v-bar)"
"0216","cable seated shoulder internal rotation","internal"
"0222","cable side bend","bend"
"0221","cable side bend crunch (bosu ball)","bend (bosu ball)"
"1717","cable squat row (with rope attachment)","(with attachment)"
"1644","cable squatting curl","squatting"
"0874","cable standing crunch (with rope attachment)","(with attachment)"
"0232","cable standing pulldown (with rope)","(with rope)"
"0233","cable standing rear delt row (with rope)","(with rope)"
"0234","cable standing row (v-bar)","(v-bar)"
"0235","cable standing shoulder external rotation","external"
"0236","cable standing twist row (v-bar)","(v-bar)"
"1269","cable standing up straight crossovers","crossovers"
"0237","cable straight arm pulldown (with rope)","(with rope)"
"2464","cable thibaudeau kayak row","thibaudeau kayak"
"0241","cable triceps pushdown (v-bar)","(v-bar)"
"2405","cable triceps pushdown (v-bar) (with arm blaster)","(v-bar) (with blaster)"
"0242","cable tuck reverse crunch","tuck"
"0862","cable twist (up-down)","(up-down)"
"0245","cable underhand pulldown","underhand"
"1270","cable upper chest crossovers","crossovers"
"0248","cambered bar lying row","cambered"
"2963","captains chair straight leg raise","captains chair"
"1548","chair leg extended stretch","chair extended"
"1430","chest dip (on dip-pull-up cage)","(on dip-pull-up cage)"
"3216","chest tap push-up (male)","(male)"
"0253","chin-ups (narrow parallel grip)","chin-ups (narrow grip)"
"1273","clap push up","clap"
"0258","clock push-up","clock"
"2398","close-grip push-up (on knees)","(on knees)"
"0260","cocoons","cocoons"
"1468","crab twist toe touch","crab"
"0267","crunch (hands overhead)","(hands overhead)"
"0271","crunch (on stability ball)","(on stability ball)"
"0272","crunch (on stability ball, arms straight)","(on stability ball, straight)"
"3016","curl-up","curl-up"
"3769","curtsey squat","curtsey"
"2331","cycle cross trainer","cycle trainer"
"0276","dead bug","dead bug"
"0283","diamond push-up","diamond"
"1275","drop push up","drop"
"2403","dumbbell alternate biceps curl (with arm blaster)","(with blaster)"
"1649","dumbbell alternating bicep curl with leg raised on exercise ball","raised"
"0287","dumbbell arnold press v. 2","v."
"0288","dumbbell around pullover","around"
"1651","dumbbell bicep curl lunge with bowling motion","bowling motion"
"1652","dumbbell bicep curl on exercise ball with leg raised","raised"
"1653","dumbbell bicep curl with stork stance","stork"
"2401","dumbbell biceps curl (with arm blaster)","(with blaster)"
"1656","dumbbell biceps curl v sit on bosu ball","sit"
"1201","dumbbell burpee","burpee"
"3635","dumbbell contralateral forward lunge","contralateral"
"1657","dumbbell cross body hammer curl v. 2","v."
"2136","dumbbell cuban press v. 2","v."
"0304","dumbbell decline shrug v. 2","v."
"0309","dumbbell front raise v. 2","v."
"0311","dumbbell full can lateral raise","can"
"0312","dumbbell hammer curl v. 2","v."
"2402","dumbbell hammer curls (with arm blaster)","(with blaster)"
"0316","dumbbell incline breeding","breeding"
"0317","dumbbell incline curl v. 2","v."
"0324","dumbbell incline palm-in press","palm-in"
"3542","dumbbell incline t-raise","t-raise"
"0331","dumbbell incline twisted flyes","twisted flyes"
"3541","dumbbell incline y-raise","y-raise"
"0332","dumbbell iron cross","iron"
"1734","dumbbell kickbacks on exercise ball","kickbacks"
"0337","dumbbell lying extension (across face)","(across face)"
"0863","dumbbell lying external shoulder rotation","external"
"0339","dumbbell lying femoral","femoral"
"0341","dumbbell lying one arm deltoid rear","deltoid"
"0342","dumbbell lying one arm press v. 2","v."
"0344","dumbbell lying one arm pronated triceps extension","pronated"
"0346","dumbbell lying one arm supinated triceps extension","supinated"
"0347","dumbbell lying pronation","pronation"
"2705","dumbbell lying pronation on floor","pronation"
"0349","dumbbell lying supination","supination"
"2706","dumbbell lying supination on floor","supination"
"0353","dumbbell one arm concentration curl (on stability ball)","(on stability ball)"
"0359","dumbbell one arm reverse fly (with support)","(with support)"
"0360","dumbbell one arm shoulder press v. 2","v."
"0362","dumbbell one arm triceps extension (on bench)","(on bench)"
"1672","dumbbell one arm zottman preacher curl","zottman"
"1329","dumbbell palm rotational bent over row","rotational"
"0370","dumbbell peacher hammer curl","peacher"
"0371","dumbbell plyo squat","plyo"
"0373","dumbbell pronate-grip triceps extension","pronate-grip"
"0377","dumbbell rear delt row_shoulder","row_shoulder"
"0379","dumbbell rear lateral raise (support head)","(support head)"
"2327","dumbbell reverse grip row (female)","(female)"
"0390","dumbbell seated biceps curl (on stability ball)","(on stability ball)"
"0395","dumbbell seated lateral raise v. 2","v."
"1679","dumbbell seated one arm bicep curl on exercise ball with leg raised","raised"
"0399","dumbbell seated one arm rotate","rotate"
"1380","dumbbell seated one leg calf raise - hammer grip","-"
"1381","dumbbell seated one leg calf raise - palm up","-"
"0404","dumbbell seated shoulder press (parallel grip)","(parallel grip)"
"0407","dumbbell side bend","bend"
"3548","dumbbell single arm overhead carry","carry"
"2805","dumbbell single leg deadlift with stepbox support","stepbox"
"2143","dumbbell standing around world","around world"
"0419","dumbbell standing front raise above head","above"
"2321","dumbbell standing inner biceps curl v. 2","v."
"0422","dumbbell standing one arm curl (over incline bench)","(over bench)"
"2293","dumbbell standing zottman preacher curl","zottman"
"1684","dumbbell step up single leg balance with bicep curl","balance"
"0436","dumbbell tate press","tate"
"1742","dumbbell tricep kickback with stork stance","stork"
"1765","dumbbell upright row (back pov)","(back pov)"
"0864","dumbbell upright shoulder external rotation","upright external"
"5201","dumbbell waiter biceps curl","waiter"
"0438","dumbbell w-press","w-press"
"2294","dumbbell zottman preacher curl","zottman"
"2189","dumbbells seated triceps extension","dumbbells"
"1167","dynamic chest stretch (male)","(male)"
"1772","elbow lift - reverse push-up","-"
"0443","elbow-to-knee","elbow-to-knee"
"3292","elevator","elevator"
"1332","exercise ball alternating arm ups","ups"
"1333","exercise ball back extension with arms extended","extended"
"1335","exercise ball back extension with knees off ground","off ground"
"1338","exercise ball hug","hug"
"1341","exercise ball lower back stretch (pyramid)","(pyramid)"
"3241","exercise ball on the wall calf raise (tennis ball between ankles)","(tennis ball ankles)"
"3240","exercise ball on the wall calf raise (tennis ball between knees)","(tennis ball knees)"
"1417","exercise ball one legged diagonal kick hamstring curl","legged diagonal"
"1296","exercise ball pike push up","pike"
"1747","ez bar french press on exercise ball","ez"
"3010","ez bar lying bent arms pullover","ez"
"1748","ez bar lying close grip triceps extension behind head","ez"
"1344","ez bar reverse grip bent over row","ez"
"1682","ez bar seated close grip concentration curl","ez"
"1749","ez bar standing french press","ez"
"0445","ez barbell anti gravity press","anti gravity"
"0448","ez barbell decline close grip face press","face"
"0450","ez barbell jm bench press","jm"
"2404","ez-bar biceps curl (with arm blaster)","ez-bar (with blaster)"
"2432","ez-bar close-grip bench press","ez-bar"
"2133","farmers walk","farmers"
"3303","flag","flag"
"0456","flexion leg sit up (bent knee)","(bent knee)"
"0457","flexion leg sit up (straight arm)","(straight arm)"
"0458","floor fly (with barbell)","(with barbell)"
"0459","flutter kicks","flutter kicks"
"3470","forward lunge (male)","(male)"
"3194","frankenstein squat","frankenstein"
"2429","frog crunch","frog"
"3301","frog planche","frog"
"3295","front lever reps","reps"
"3315","full maltese","maltese"
"0466","gironda sternum chin","sternum chin"
"3523","glute bridge two legs on bench (male)","(male)"
"3193","glute-ham raise","glute-ham"
"0467","gorilla chin","gorilla chin"
"0469","groin crunch","groin"
"1383","hack calf raise","hack"
"1384","hack one leg calf raise","hack"
"3221","half knee bends (male)","bends (male)"
"3202","half sit-up (male)","(male)"
"2139","hands bike","bike"
"3218","hands clasped circular toe touch (male)","clasped circular (male)"
"3215","hands reversed clasped circular toe touch (male)","reversed clasped circular (male)"
"3302","handstand","handstand"
"0471","handstand push-up","handstand"
"0473","hanging pike","pike"
"0484","hip raise (bent knee)","(bent knee)"
"1418","hug keens to chest","hug keens"
"3234","hyght dumbbell fly","hyght"
"0488","hyperextension (on bench)","(on bench)"
"3289","impossible dips","impossible"
"1471","inchworm","inchworm"
"3698","inchworm v. 2","inchworm v."
"0491","incline leg hip raise (leg straight)","(leg straight)"
"0492","incline push up depth jump","depth"
"3785","incline push-up (on box)","(on box)"
"3011","incline scapula push up","scapula"
"1564","intermediate hip flexor and quad stretch","intermediate"
"0496","inverse leg curl (bench support)","(bench support)"
"2400","inverse leg curl (on pull-up cable machine)","(on machine)"
"0497","inverted row v. 2","v."
"0498","inverted row with straps","straps"
"1419","iron cross stretch","iron"
"1297","isometric chest squeeze","squeeze"
"0500","isometric wipers","wipers"
"0501","jack burpee","jack burpee"
"3224","jack jump (male)","jack (male)"
"0507","jackknife sit-up","jackknife"
"0508","janda sit-up","janda"
"0513","jump squat v. 2","v."
"0517","kettlebell advanced windmill","advanced windmill"
"0521","kettlebell alternating renegade row","renegade"
"0525","kettlebell bottoms up clean from the hang position","bottoms from position"
"0530","kettlebell double windmill","windmill"
"0531","kettlebell extended range one arm press on floor","extended range"
"0532","kettlebell figure 8","figure"
"0536","kettlebell lunge pass through","pass"
"0543","kettlebell pirate supper legs","pirate supper"
"0545","kettlebell plyo push-up","plyo"
"0547","kettlebell seesaw press","seesaw"
"0550","kettlebell thruster","thruster"
"0551","kettlebell turkish get up (squat style)","get (squat style)"
"0554","kettlebell windmill","windmill"
"0555","kick out sit","sit"
"0558","kipping muscle up","kipping muscle"
"3239","kneeling plank tap shoulder (male)","(male)"
"3211","kneeling push-up (male)","(male)"
"3288","korean dips","korean"
"3418","l-pull-up","l-pull-up"
"3419","l-sit on floor","l-sit"
"0562","landmine 180","landmine"
"3237","landmine lateral raise","landmine"
"3300","lean planche","lean"
"2271","left hook. boxing","hook. boxing"
"0570","leg pull in flat bench","flat"
"0580","lever gripless shrug","gripless"
"1439","lever gripless shrug v. 2","gripless v."
"2288","lever gripper hands","gripper"
"2286","lever hip extension v. 2","v."
"1479","lever incline chest press v. 2","v."
"3195","lever lying two-one leg curl","two-one"
"0591","lever overhand triceps dip","overhand"
"1614","lever preacher curl v. 2","v."
"1349","lever reverse t-bar row","t-bar"
"2315","lever rotary calf","rotary"
"0595","lever seated crunch (chest pad)","(chest pad)"
"3760","lever seated crunch v. 2","v."
"0601","lever seated reverse fly (parallel grip)","(parallel grip)"
"0869","lever shoulder press v. 2","v."
"2318","lever shoulder press v. 3","v."
"1351","lever t-bar reverse grip row","t-bar"
"1313","lever unilateral row","unilateral"
"0609","london bridge","london"
"0613","lying (side) quads stretch","(side)"
"0620","lying leg raise flat bench","flat"
"0865","lying leg-hip raise","leg-hip"
"0624","march sit (wall)","sit (wall)"
"1353","medicine ball catch and overhead throw","catch"
"1302","medicine ball chest pass","pass"
"1303","medicine ball chest push from 3 point stance","from point"
"1304","medicine ball chest push multiple response","multiple response"
"1305","medicine ball chest push single response","response"
"1312","medicine ball chest push with run release","release"
"1354","medicine ball overhead slam","slam"
"0627","mixed grip chin-up","mixed"
"3217","modified hindu push-up (male)","modified hindu (male)"
"1421","modified push up to lower arms","modified"
"0628","monster walk","monster"
"0631","muscle up","muscle"
"1401","muscle-up (on vertical bar)","muscle-up (on bar)"
"0634","negative crunch","negative"
"1495","oblique crunch v. 2","v."
"0635","oblique crunches floor","crunches"
"0640","one arm slam (with medicine ball)","slam (with medicine ball)"
"0641","otis up","otis"
"0642","outside leg kick push-up","outside"
"3147","pelvic tilt","pelvic tilt"
"1422","pelvic tilt into bridge","pelvic tilt into"
"1388","peroneals stretch","peroneals"
"3662","pike-to-cobra push-up","pike-to-cobra"
"1306","plyo push up","plyo"
"1687","posterior step to overhead reach","posterior reach"
"1389","posterior tibialis stretch","posterior tibialis"
"3119","potty squat","potty"
"3132","potty squat with support","potty"
"0648","power clean","power"
"3665","power point plank","power point"
"3203","prisoner half sit-up (male)","prisoner (male)"
"0651","pull up (neutral grip)","(neutral grip)"
"0650","pull-in (on stability ball)","pull-in (on stability ball)"
"0653","push-up (bosu ball)","(bosu ball)"
"0655","push-up (on stability ball)","(on stability ball)"
"0656","push-up (on stability ball)","(on stability ball)"
"0659","push-up (wall)","(wall)"
"0658","push-up (wall) v. 2","(wall) v."
"0660","push-up close-grip off dumbbell","off"
"0661","push-up inside leg kick","inside"
"3145","push-up plus","plus"
"3552","quick feet v. 2","quick feet v."
"0669","rear deltoid stretch","deltoid"
"1582","reclining big toe pose with rope","reclining big pose"
"3236","resistance band hip thrusts on knees (female)","thrusts (female)"
"0675","reverse hyper extension (on stability ball)","hyper (on stability ball)"
"1423","reverse hyper on flat bench","hyper flat"
"0677","ring dips","ring"
"2571","rocking frog stretch","rocking frog"
"0678","rocky pull-up pulldown","rocky"
"2204","roller body saw","saw"
"2203","roller seated shoulder flexor depresor retractor","depresor retractor"
"2209","roller seated single leg shoulder flexor depresor retractor","depresor retractor"
"0684","run (equipment)","(equipment)"
"1585","runners stretch","runners"
"3012","scapula dips","scapula"
"3021","scapula push-up","scapula"
"0688","scapular pull-up","scapular"
"3219","scissor jumps (male)","scissor (male)"
"1390","seated calf stretch (male)","(male)"
"2567","seated piriformis stretch","piriformis"
"0691","seated side crunch (wall)","(wall)"
"1587","seated wide angle pose sequence","angle pose sequence"
